food,speaker,audio_path,event_num,start_time_sec,end_time_sec,duration,expected_tag,detected_tags,contains_correct_tag
Apple,BY,1.wav,4,6.897,7.354,0.45699999999999985,chew,"['Silence', 'Outside, urban or manmade', 'Speech', 'Outside, rural or natural', 'Wind noise (microphone)']",False
Apple,BY,1.wav,36,61.257,61.994,0.7370000000000019,swallow,"['Animal', 'Sound effect', 'Speech', 'Outside, rural or natural', 'Pig']",False
Apple,BY,2.wav,4,8.397,8.912,0.5150000000000006,chew,"['Wind', 'Sailboat, sailing ship', 'Outside, rural or natural', 'Wind noise (microphone)', 'Boat, Water vehicle']",False
Apple,BY,2.wav,24,50.109,50.819,0.7100000000000009,swallow,"['Music', 'Plop', 'Sound effect', 'Speech', 'Pig']",False
Apple,BY,3.wav,10,20.751,21.032,0.2809999999999988,chew,"['Silence', 'Speech', 'Outside, rural or natural', 'Wind noise (microphone)', 'Boat, Water vehicle']",False
Apple,BY,3.wav,16,37.235,37.644,0.4089999999999989,bite,"['Silence', 'Arrow', 'Speech', 'Outside, rural or natural', 'Ping']",False
Apple,CY,1.wav,23,16.26,16.535,0.2749999999999986,chew,"['Silence', 'Music', 'Walk, footsteps', 'Speech', 'Outside, rural or natural']",False
Apple,CY,1.wav,24,16.991,17.596,0.6050000000000004,swallow,"['Animal', 'Inside, small room', 'Speech', 'Outside, rural or natural', 'Dog']",False
Apple,CY,2.wav,4,4.563,4.904,0.3410000000000002,chew,"['Animal', 'Inside, small room', 'Liquid', 'Speech', 'Outside, rural or natural']",False
Apple,CY,2.wav,17,19.222,19.449,0.2270000000000003,chew,"['Silence', 'Bird', 'Pigeon, dove', 'Speech', 'Outside, rural or natural']",False
Apple,CY,3.wav,17,16.687,16.818,0.13100000000000023,chew,"['Silence', 'Music', 'Bird', 'Pigeon, dove', 'Speech']",False
Apple,CY,3.wav,18,17.191,17.346,0.15500000000000114,swallow,"['Animal', 'Silence', 'Inside, small room', 'Speech', 'Outside, rural or natural']",False
Apple,LH,1.wav,6,10.681,10.952,0.2710000000000008,chew,"['Animal', 'Silence', 'Pigeon, dove', 'Speech', 'Outside, rural or natural']",False
Apple,LH,1.wav,10,18.004,18.676,0.671999999999997,chew,"['Animal', 'Speech', 'Outside, urban or manmade', 'Walk, footsteps', 'Outside, rural or natural']",False
Apple,LH,2.wav,7,8.487,8.844,0.3569999999999993,chew,"['Animal', 'Silence', 'Walk, footsteps', 'Speech', 'Outside, rural or natural']",False
Apple,LH,2.wav,21,29.347,29.697,0.34999999999999787,chew,"['Silence', 'Run', 'Speech', 'Outside, rural or natural', 'Ping']",False
Apple,LH,3.wav,22,41.047,41.426,0.3790000000000049,chew,"['Silence', 'Outside, urban or manmade', 'Speech', 'Outside, rural or natural', 'Wind noise (microphone)']",False
